ID	words	meaning	lx
3	abacus	n. 算盘	 I can use abacus skillfully./r/n     我会熟练地打算盘。/r/n\n The clerk reckoned the expenditure last week with an abacus./r/n     那位职员用算盘将上周的花销计算出来。/r/n
4	abandon	v. 放弃,遗弃,沉溺	 The cruel man abandoned his wife and child./r/n     那个狠心的男人抛弃了他的妻儿。/r/n\n They had abandoned all hope./r/n     他们已经放弃了一切希望。/r/n
5	abatement	n. 减少,减轻,缓和	 A noise abatement notice is served on the club./r/n     向俱乐部发停止大声喧哗的通知。/r/n
6	abbreviation	n. 缩写	
7	ABC	n. 基本要素,字母表<br>\nabbr. 美国广播公司<br>\nabbr. 澳大利亚广播公司	
8	abdomen	n. 腹部	 The spider has a bulgy abdomen./r/n     蜘蛛长着凸出的腹部。/r/n\n He always feels pain in his abdomen./r/n     他的腹部经常疼痛。/r/n
9	abend	异常结束	
10	able	a. 能干的,有能力的	 He is an able man./r/n     他是一个能人。/r/n\n As I had plenty of money I was able to help her./r/n     我钱很宽裕，能帮助她。/r/n
11	abnormal	a. 反常的,不正常的,不规则的	 The weather is abnormal this year./r/n     今年的气候不正常。/r/n\n An abnormal fear of high places./r/n     恐高症对于高处的一种不正常的恐惧/r/n
12	abolish	v. 废止,革除	Abraham Lincoln abolished slavery in the United States.\n     \n亚伯拉罕·林肯在美国废除了奴隶制/n\n There are many bad customs and laws that ought to be abolished     有许多不良的习俗和法规应予以废
13	aboriginal	a. 原始的,土著的	
14	abort	v. 流产,打胎,堕胎	 Some suspicious looking men were loitering abort near the house/r/n     几个形迹可疑的人在屋子附近荡来荡去。/r/n\n An aborted organism./r/n     流产的生物体/r/n
15	abortion	n. 流产,堕胎	 Abortion is illegal in this country./r/n     人工流产在这个国家是不合法的。/r/n\n They are discussing the morality of abortion./r/n     他们正在讨论堕胎的道德性。/r/n
16	abound	v. 富于,充满	Tropical plants abound in the jungle.\n丛林中有大量的热带植物。\nHe abounds in courage.\n他很有胆量。
17	above	a. 上面的<br>\nad. 在上面<br>\nn. 上面<br>\nprep. 在...上面	 The sun rose above the horizon./r/n     太阳升到地平线上。/r/n\n My bedroom is just above./r/n     我的卧室就在上面。/r/n
18	aboveboard	ad. 光明正大地,率直地<br>\na. 光明正大的,率直的	
19	abrasion	n. 磨减,磨损,磨损之处	
20	abrasive	n. 研磨剂<br>\na. 磨平的	
